글쓰기,읽고이해하기,듣고이해하기,말하기,수리력,논리적분석,창의력,범주화,기억력,공간지각력,추리력,학습전략,선택적집중력,모니터링,사람파악,행동조정,설득,협상,가르치기,서비스지향,문제해결,판단과의사결정,시간관리,재정관리,물적자원관리,인적자원관리,기술분석,기술설계,장비선정,설치,전산,품질관리분석,조작및통제,장비의유지,고장의발견.수리,작동점검,조직체계의분석및평가,정교한동작,움직임통제,반응시간과속도,신체적강인성,유연성및균형,시력,청력,knowcode
7.0,9.0,9.0,4.0,4.0,6.0,7.0,9.0,9.0,7.0,9.0,9.0,11.0,9.0,9.0,7.0,7.0,4.0,7.0,5.0,6.0,7.0,6.0,8.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,6.0,7.0,8.0,155305
9.0,11.0,9.0,9.0,11.0,9.0,,10.0,10.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,7.0,9.0,8.0,9.0,10.0,9.0,11.0,,,8.0,,,6.0,10.0,,,,,,7.0,,,6.0,,,9.0,4.0,25101
4.0,5.0,7.0,7.0,6.0,6.0,,4.0,3.0,,,4.0,8.0,8.0,7.0,7.0,6.0,5.0,8.0,7.0,6.0,7.0,7.0,9.0,10.0,7.0,,,9.0,,,,,,,,,7.0,,,5.0,7.0,6.0,4.0,872201
10.0,9.0,9.0,7.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,11.0,9.0,7.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,134302
9.0,7.0,8.0,7.0,6.0,8.0,7.0,6.0,7.0,6.0,8.0,7.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,6.0,5.0,6.0,7.0,6.0,5.0,5.0,6.0,7.0,6.0,7.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,7.0,8.0,415202
9.0,7.0,9.0,7.0,,7.0,,8.0,8.0,,7.0,5.0,5.0,,6.0,5.0,,,5.0,7.0,7.0,7.0,8.0,,5.0,,,,,,7.0,,,,,,,,,,,,7.0,7.0,25301
9.0,11.0,7.0,7.0,11.0,9.0,7.0,7.0,7.0,,7.0,,4.0,,5.0,,,,,,7.0,6.0,9.0,7.0,,4.0,,,,,8.0,,9.0,,,,,,,,,,5.0,5.0,31302
6.0,9.0,10.0,9.0,7.0,8.0,9.0,6.0,8.0,5.0,8.0,10.0,9.0,8.0,6.0,9.0,10.0,6.0,8.0,10.0,9.0,8.0,4.0,4.0,,9.0,4.0,8.0,6.0,6.0,10.0,6.0,,4.0,7.0,,4.0,,,7.0,,8.0,8.0,7.0,29101
7.0,8.0,8.0,6.0,8.0,8.0,6.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,4.0,,8.0,9.0,5.0,9.0,11.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,9.0,,7.0,5.0,4.0,5.0,4.0,7.0,7.0,154101
5.0,6.0,5.0,6.0,6.0,4.0,,6.0,4.0,4.0,,,6.0,5.0,8.0,6.0,,,,7.0,,,5.0,4.0,,,,,,,6.0,,,,,,,3.0,3.0,4.0,,3.0,6.0,4.0,616201
5.0,4.0,7.0,8.0,,7.0,7.0,,7.0,,,9.0,4.0,7.0,10.0,,7.0,,,10.0,,7.0,7.0,,,5.0,7.0,9.0,4.0,,,,,,,,,,,,8.0,9.0,,,307601
4.0,4.0,4.0,4.0,5.0,6.0,4.0,6.0,6.0,7.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,9.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,621201
9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,6.0,9.0,6.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,5.0,7.0,7.0,8.0,9.0,7.0,9.0,9.0,9.0,7.0,9.0,7.0,4.0,4.0,,4.0,4.0,7.0,5.0,5.0,6.0,7.0,305001
7.0,9.0,9.0,5.0,5.0,7.0,5.0,9.0,7.0,8.0,6.0,9.0,9.0,5.0,5.0,7.0,,,9.0,,7.0,7.0,5.0,,5.0,5.0,9.0,7.0,8.0,5.0,7.0,,7.0,7.0,5.0,7.0,6.0,7.0,9.0,7.0,6.0,5.0,8.0,7.0,301109
,7.0,8.0,5.0,6.0,8.0,8.0,7.0,7.0,8.0,5.0,6.0,8.0,8.0,8.0,6.0,7.0,6.0,8.0,6.0,7.0,8.0,7.0,5.0,7.0,8.0,7.0,9.0,8.0,6.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,4.0,4.0,6.0,10.0,306902
5.0,,,7.0,7.0,7.0,9.0,7.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,416401
7.0,7.0,9.0,8.0,6.0,7.0,,6.0,7.0,4.0,5.0,5.0,6.0,5.0,9.0,9.0,6.0,7.0,7.0,8.0,9.0,8.0,5.0,5.0,4.0,8.0,6.0,,9.0,,8.0,,6.0,7.0,5.0,6.0,5.0,3.0,,9.0,,6.0,6.0,7.0,301113
4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,5.0,6.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,7.0,5.0,4.0,4.0,3.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,862301
,4.0,,,,,4.0,9.0,,,,,7.0,7.0,,,,,,5.0,5.0,,9.0,9.0,5.0,7.0,7.0,,,,7.0,7.0,9.0,9.0,,7.0,9.0,7.0,7.0,7.0,6.0,7.0,,,29901
,,,,,,,,,8.0,,,9.0,,5.0,,,,,8.0,,,,,,,,,,,,,,9.0,10.0,9.0,,,9.0,9.0,9.0,8.0,9.0,6.0,622201
4.0,4.0,6.0,5.0,,3.0,8.0,6.0,6.0,6.0,,4.0,6.0,8.0,6.0,6.0,4.0,6.0,5.0,8.0,5.0,5.0,6.0,3.0,6.0,,8.0,5.0,4.0,,,6.0,4.0,3.0,5.0,6.0,,7.0,5.0,5.0,6.0,4.0,7.0,4.0,511401
9.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,11.0,7.0,10.0,10.0,8.0,9.0,11.0,9.0,9.0,7.0,10.0,9.0,9.0,7.0,7.0,7.0,9.0,6.0,7.0,,6.0,9.0,6.0,8.0,7.0,,,6.0,6.0,,6.0,,8.0,7.0,6.0,417201
4.0,7.0,4.0,5.0,7.0,8.0,5.0,6.0,5.0,,7.0,7.0,,,,,,,5.0,,6.0,5.0,5.0,,,,10.0,9.0,8.0,10.0,4.0,,6.0,6.0,6.0,7.0,,7.0,4.0,,,4.0,4.0,,153101
9.0,9.0,10.0,7.0,7.0,9.0,4.0,9.0,7.0,7.0,,7.0,12.0,7.0,11.0,9.0,5.0,5.0,7.0,12.0,12.0,11.0,7.0,,,7.0,7.0,,8.0,,5.0,,,4.0,,,,9.0,8.0,9.0,10.0,7.0,9.0,7.0,301103
5.0,6.0,7.0,6.0,7.0,7.0,,,6.0,,,6.0,7.0,6.0,7.0,6.0,7.0,6.0,,7.0,7.0,7.0,6.0,,6.0,,7.0,,,,7.0,6.0,6.0,,,,6.0,,,,,,6.0,5.0,31401
,6.0,6.0,,6.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,,,8.0,,,4.0,7.0,8.0,8.0,8.0,,,,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,852101
5.0,9.0,9.0,5.0,5.0,7.0,,5.0,7.0,4.0,,7.0,7.0,4.0,8.0,6.0,6.0,4.0,4.0,8.0,6.0,7.0,5.0,5.0,5.0,,,,,,5.0,,,,,,,5.0,4.0,6.0,5.0,5.0,6.0,8.0,303001
,5.0,7.0,7.0,5.0,5.0,8.0,10.0,7.0,5.0,5.0,7.0,10.0,,,5.0,8.0,5.0,5.0,,8.0,,5.0,,8.0,,8.0,,7.0,,7.0,10.0,,7.0,10.0,10.0,5.0,10.0,7.0,7.0,,5.0,10.0,7.0,825201
6.0,4.0,6.0,,,,,4.0,4.0,7.0,,,6.0,5.0,5.0,5.0,,,,6.0,6.0,4.0,,,,,,,5.0,,,,,,,,,,,7.0,6.0,5.0,6.0,6.0,541201
4.0,6.0,9.0,9.0,4.0,,,3.0,6.0,,,5.0,5.0,7.0,9.0,6.0,4.0,3.0,4.0,6.0,9.0,7.0,6.0,7.0,9.0,4.0,7.0,3.0,6.0,3.0,,5.0,9.0,6.0,7.0,9.0,7.0,3.0,5.0,,9.0,7.0,4.0,5.0,306201
6.0,8.0,8.0,5.0,5.0,6.0,8.0,6.0,7.0,7.0,,5.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,8.0,9.0,9.0,10.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,8.0,5.0,5.0,10.0,6.0,6.0,6.0,701602
8.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,852201
4.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,,6.0,,5.0,6.0,,4.0,4.0,5.0,,,,,3.0,,,,,,4.0,4.0,4.0,5.0,6.0,6.0,7.0,303002
7.0,8.0,7.0,,10.0,6.0,,7.0,6.0,,6.0,7.0,4.0,8.0,,6.0,,,5.0,,9.0,8.0,,,5.0,6.0,10.0,8.0,,,8.0,,6.0,,4.0,,,4.0,,,,,5.0,,121103
5.0,5.0,4.0,5.0,5.0,7.0,7.0,4.0,7.0,,,7.0,7.0,9.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,8.0,4.0,8.0,8.0,8.0,,,4.0,,5.0,8.0,4.0,,,3.0,7.0,5.0,5.0,6.0,4.0,,5.0,3.0,305001
9.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,4.0,7.0,7.0,9.0,9.0,8.0,4.0,7.0,,,6.0,7.0,,,,7.0,9.0,9.0,6.0,8.0,8.0,9.0,9.0,5.0,8.0,7.0,512301
9.0,9.0,9.0,9.0,7.0,7.0,4.0,4.0,5.0,5.0,4.0,7.0,9.0,10.0,12.0,10.0,10.0,8.0,12.0,9.0,9.0,7.0,8.0,9.0,,8.0,,,,,5.0,,,,,,6.0,,,5.0,6.0,4.0,6.0,7.0,12402
6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0,7.0,8.0,7.0,7.0,7.0,835101
5.0,4.0,7.0,4.0,5.0,7.0,,6.0,6.0,7.0,4.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,6.0,7.0,7.0,6.0,7.0,6.0,9.0,7.0,6.0,7.0,9.0,9.0,6.0,5.0,6.0,7.0,9.0,9.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,814001
6.0,7.0,8.0,6.0,10.0,10.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,8.0,,,,6.0,6.0,,8.0,8.0,10.0,,6.0,,9.0,8.0,8.0,9.0,11.0,9.0,7.0,6.0,10.0,6.0,9.0,,,,,,10.0,7.0,13701
9.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,6.0,9.0,8.0,8.0,7.0,,6.0,7.0,5.0,,7.0,5.0,7.0,5.0,7.0,6.0,8.0,,151108
,9.0,12.0,11.0,6.0,4.0,,9.0,4.0,8.0,,,11.0,9.0,8.0,9.0,6.0,7.0,,9.0,11.0,10.0,11.0,,8.0,8.0,11.0,,9.0,11.0,6.0,,9.0,11.0,11.0,12.0,8.0,9.0,4.0,9.0,11.0,4.0,11.0,10.0,815001
4.0,5.0,6.0,7.0,8.0,8.0,,9.0,8.0,9.0,6.0,6.0,7.0,5.0,5.0,9.0,4.0,5.0,5.0,11.0,8.0,9.0,9.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,,8.0,7.0,5.0,5.0,,5.0,9.0,10.0,10.0,10.0,8.0,10.0,532401
5.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,,,,416105
5.0,6.0,7.0,5.0,7.0,6.0,5.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,6.0,5.0,7.0,6.0,8.0,8.0,7.0,8.0,9.0,4.0,5.0,7.0,8.0,,11.0,7.0,5.0,7.0,8.0,9.0,9.0,9.0,,10.0,8.0,7.0,9.0,7.0,8.0,7.0,621203
7.0,6.0,5.0,8.0,5.0,7.0,6.0,6.0,7.0,6.0,7.0,11.0,8.0,5.0,7.0,5.0,6.0,6.0,10.0,9.0,9.0,8.0,7.0,,,4.0,,,,,4.0,,,,,,4.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,212101
3.0,3.0,7.0,9.0,6.0,3.0,3.0,6.0,4.0,,,4.0,9.0,7.0,7.0,7.0,3.0,,,7.0,7.0,9.0,7.0,7.0,9.0,,4.0,3.0,4.0,,,3.0,,,5.0,4.0,,6.0,4.0,4.0,5.0,4.0,5.0,4.0,561501
9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,10.0,7.0,7.0,9.0,11.0,9.0,6.0,11.0,11.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,8.0,140206
,4.0,4.0,5.0,4.0,4.0,,5.0,6.0,7.0,,,6.0,,5.0,4.0,4.0,5.0,7.0,7.0,4.0,8.0,4.0,4.0,7.0,5.0,4.0,,5.0,9.0,,,7.0,10.0,8.0,9.0,,6.0,9.0,7.0,7.0,4.0,5.0,5.0,623001
4.0,12.0,12.0,12.0,,9.0,12.0,12.0,12.0,12.0,10.0,,9.0,,,9.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,10.0,10.0,9.0,9.0,416203
6.0,7.0,8.0,7.0,6.0,7.0,10.0,7.0,7.0,7.0,8.0,7.0,9.0,9.0,9.0,7.0,6.0,7.0,9.0,8.0,6.0,8.0,9.0,9.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0,6.0,9.0,7.0,7.0,,24404
8.0,10.0,10.0,10.0,,9.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,11.0,9.0,,11.0,11.0,12.0,10.0,11.0,7.0,7.0,11.0,9.0,8.0,12.0,12.0,9.0,10.0,12.0,12.0,12.0,12.0,9.0,10.0,12.0,12.0,9.0,11.0,11.0,12.0,621102
8.0,9.0,11.0,8.0,9.0,9.0,7.0,9.0,9.0,7.0,5.0,9.0,9.0,9.0,,,8.0,7.0,,,9.0,9.0,,,,,9.0,7.0,7.0,,8.0,8.0,9.0,9.0,6.0,4.0,10.0,,5.0,,,,6.0,,140502
,7.0,7.0,10.0,,,11.0,,,9.0,,8.0,7.0,7.0,,7.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,12.0,5.0,6.0,414702
7.0,7.0,9.0,9.0,,7.0,,7.0,,9.0,9.0,7.0,7.0,9.0,10.0,9.0,7.0,7.0,9.0,7.0,7.0,7.0,4.0,7.0,,7.0,,,,,,,,7.0,7.0,,9.0,,,,,,7.0,7.0,13305
7.0,9.0,9.0,8.0,9.0,10.0,,9.0,9.0,7.0,5.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0,,9.0,10.0,8.0,6.0,,8.0,9.0,9.0,8.0,8.0,6.0,8.0,8.0,5.0,7.0,7.0,10.0,7.0,6.0,7.0,,6.0,6.0,6.0,152201
9.0,9.0,9.0,6.0,7.0,9.0,,7.0,5.0,5.0,6.0,5.0,9.0,11.0,8.0,7.0,,,7.0,7.0,9.0,8.0,8.0,,,6.0,6.0,,9.0,8.0,8.0,9.0,6.0,9.0,7.0,7.0,9.0,,6.0,,,4.0,8.0,5.0,28402
4.0,5.0,6.0,8.0,6.0,6.0,9.0,5.0,7.0,4.0,4.0,4.0,8.0,,4.0,7.0,6.0,4.0,5.0,8.0,6.0,,9.0,4.0,6.0,7.0,4.0,,6.0,,4.0,9.0,4.0,,,,,10.0,9.0,9.0,,4.0,10.0,5.0,511302
,7.0,6.0,5.0,7.0,8.0,10.0,8.0,6.0,8.0,7.0,5.0,10.0,7.0,5.0,6.0,4.0,6.0,,7.0,8.0,7.0,6.0,6.0,8.0,4.0,7.0,5.0,8.0,9.0,7.0,5.0,7.0,8.0,7.0,4.0,7.0,8.0,8.0,5.0,6.0,8.0,6.0,5.0,416601
6.0,6.0,6.0,7.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,7.0,7.0,7.0,6.0,7.0,4.0,4.0,8.0,6.0,6.0,7.0,6.0,6.0,4.0,4.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,10.0,10.0,6.0,5.0,140207
8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,9.0,9.0,7.0,7.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,6.0,10.0,10.0,140602
,6.0,4.0,,4.0,10.0,6.0,4.0,6.0,5.0,9.0,,4.0,8.0,,4.0,,,,,,,4.0,,,4.0,6.0,,,,,,,,,,,11.0,6.0,6.0,,,6.0,4.0,420202
12.0,12.0,12.0,10.0,8.0,10.0,8.0,9.0,10.0,7.0,6.0,10.0,9.0,10.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,10.0,10.0,8.0,6.0,8.0,8.0,,,5.0,10.0,7.0,5.0,,,,,,,,5.0,,6.0,5.0,110104
9.0,9.0,9.0,7.0,,10.0,,7.0,8.0,,4.0,6.0,8.0,9.0,6.0,6.0,,,4.0,,,6.0,9.0,4.0,,8.0,7.0,,,,6.0,,3.0,,,,,,,6.0,,,8.0,6.0,25402
6.0,7.0,,5.0,5.0,,,5.0,5.0,5.0,,,5.0,5.0,,5.0,,,,7.0,7.0,5.0,7.0,,5.0,5.0,,,,,5.0,,,,,5.0,7.0,,5.0,5.0,6.0,,6.0,5.0,140207
9.0,9.0,9.0,,,,6.0,,8.0,,,,,9.0,9.0,,,7.0,8.0,8.0,8.0,7.0,7.0,,,10.0,,,,,,,,,,,,,,,,,,,22202
12.0,12.0,12.0,12.0,9.0,11.0,9.0,10.0,8.0,7.0,10.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,11.0,8.0,9.0,6.0,5.0,9.0,7.0,,,,10.0,,,,,,8.0,,,,,,,,110202
5.0,7.0,5.0,,5.0,5.0,5.0,,5.0,,,,5.0,6.0,5.0,5.0,,5.0,5.0,,5.0,,5.0,,,5.0,5.0,,,,,,5.0,,5.0,5.0,5.0,,5.0,7.0,,,5.0,,140207
9.0,10.0,11.0,9.0,8.0,7.0,5.0,7.0,8.0,7.0,7.0,7.0,9.0,6.0,8.0,7.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,7.0,8.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,221301
4.0,4.0,4.0,,4.0,4.0,5.0,5.0,4.0,9.0,7.0,9.0,7.0,9.0,7.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,9.0,,7.0,5.0,7.0,,,,5.0,,,,,7.0,7.0,6.0,9.0,10.0,11.0,10.0,7.0,8.0,541101
7.0,12.0,12.0,12.0,,10.0,12.0,12.0,12.0,12.0,12.0,7.0,11.0,9.0,9.0,9.0,9.0,,7.0,,9.0,9.0,7.0,,,,,,,,,,,,,,,,,,10.0,9.0,11.0,10.0,416203
5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,7.0,8.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,,6.0,5.0,4.0,,6.0,5.0,5.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,6.0,6.0,5.0,8.0,7.0,7.0,9.0,7.0,834001
9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0,885201
,,5.0,,,,7.0,8.0,7.0,,,,7.0,,,,,,7.0,9.0,5.0,,,,7.0,,,,5.0,,,9.0,5.0,6.0,,7.0,,5.0,,6.0,7.0,,5.0,,873501
10.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,4.0,,4.0,10.0,8.0,7.0,9.0,,10.0,10.0,9.0,9.0,11.0,5.0,9.0,9.0,7.0,10.0,10.0,6.0,8.0,7.0,7.0,4.0,4.0,,,6.0,7.0,156101
4.0,9.0,7.0,4.0,5.0,7.0,6.0,9.0,6.0,4.0,5.0,5.0,7.0,9.0,9.0,6.0,6.0,9.0,7.0,6.0,9.0,11.0,7.0,8.0,7.0,9.0,4.0,4.0,,,9.0,7.0,,,,5.0,9.0,,,,,,,4.0,11201
,5.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,823301
4.0,7.0,10.0,5.0,5.0,9.0,11.0,9.0,5.0,9.0,9.0,12.0,12.0,7.0,5.0,7.0,7.0,7.0,9.0,,9.0,9.0,9.0,9.0,4.0,4.0,10.0,7.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,5.0,7.0,7.0,,,,,,151201
,5.0,7.0,,,9.0,12.0,12.0,12.0,11.0,9.0,,11.0,7.0,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,11.0,,,9.0,4.0,11.0,,414101
4.0,7.0,7.0,12.0,7.0,4.0,7.0,7.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,5.0,7.0,10.0,7.0,,,,,,,,4.0,7.0,,,,,7.0,,,,7.0,7.0,7.0,7.0,31401
6.0,7.0,7.0,5.0,7.0,4.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,,,3.0,5.0,4.0,4.0,4.0,6.0,8.0,6.0,,,5.0,,6.0,5.0,3.0,,,,4.0,4.0,6.0,4.0,4.0,4.0,7.0,7.0,28401
8.0,9.0,10.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,6.0,8.0,6.0,6.0,6.0,5.0,,6.0,6.0,8.0,,6.0,,6.0,7.0,6.0,6.0,10.0,8.0,5.0,7.0,6.0,7.0,8.0,7.0,6.0,8.0,,,9.0,,151108
7.0,7.0,9.0,11.0,,10.0,,,,,,,9.0,7.0,7.0,7.0,,,,9.0,7.0,7.0,7.0,,,5.0,5.0,,,,5.0,,,,,,,10.0,5.0,7.0,7.0,7.0,9.0,4.0,301106
4.0,6.0,5.0,6.0,6.0,6.0,,6.0,6.0,8.0,6.0,6.0,6.0,,8.0,6.0,6.0,8.0,,7.0,6.0,7.0,6.0,,4.0,,4.0,,4.0,4.0,,,4.0,,4.0,,6.0,,4.0,6.0,8.0,9.0,5.0,5.0,615501
5.0,6.0,7.0,7.0,,,5.0,7.0,5.0,5.0,,,7.0,5.0,5.0,6.0,,,5.0,7.0,5.0,6.0,5.0,7.0,5.0,,,,6.0,4.0,,5.0,4.0,,,,,8.0,6.0,5.0,6.0,4.0,8.0,5.0,901401
8.0,7.0,5.0,9.0,,4.0,,,7.0,5.0,4.0,,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,4.0,,5.0,,,,,,,,,,,,,,,,,7.0,,,5.0,4.0,416301
6.0,7.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,9.0,10.0,10.0,4.0,5.0,7.0,4.0,6.0,5.0,9.0,9.0,7.0,9.0,4.0,6.0,,12.0,10.0,12.0,12.0,4.0,9.0,12.0,12.0,12.0,12.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,835101
12.0,10.0,10.0,7.0,10.0,5.0,4.0,9.0,5.0,,,5.0,,5.0,,,7.0,,5.0,,,5.0,,,,4.0,9.0,,,,9.0,,,,,,,,,,,,,,307401
5.0,7.0,6.0,9.0,,,7.0,5.0,6.0,6.0,5.0,6.0,5.0,9.0,7.0,7.0,5.0,5.0,6.0,8.0,7.0,9.0,9.0,5.0,5.0,4.0,,,,,,,5.0,,,,,4.0,,7.0,,,6.0,10.0,414602
7.0,8.0,8.0,6.0,7.0,6.0,9.0,8.0,4.0,7.0,7.0,5.0,5.0,9.0,7.0,4.0,4.0,4.0,,10.0,5.0,7.0,4.0,,,,,,,,8.0,6.0,,,,,8.0,,,,6.0,,,,521101
9.0,9.0,9.0,11.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,4.0,9.0,9.0,7.0,9.0,8.0,8.0,6.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,4.0,6.0,4.0,4.0,,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13204
5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,8.0,7.0,5.0,6.0,5.0,6.0,6.0,7.0,8.0,8.0,7.0,7.0,5.0,6.0,5.0,8.0,8.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,8.0,8.0,306901
5.0,4.0,8.0,5.0,,,,6.0,7.0,10.0,,,6.0,,,,4.0,5.0,,8.0,4.0,5.0,4.0,4.0,7.0,,,,9.0,,,,7.0,8.0,8.0,7.0,,6.0,7.0,7.0,5.0,5.0,7.0,8.0,622304
